iter	Passed	Remaining
0	173	173813
1	319	159520
2	518	172387
3	721	179714
4	901	179441
5	1036	171722
6	1184	168048
7	1351	167535
8	1505	165724
9	1669	165317
10	1807	162526
11	1959	161306
12	2094	159029
13	2238	157637
14	2391	157019
15	2570	158061
16	2701	156197
17	2839	154896
18	2975	153638
19	3105	152191
20	3238	150967
21	3365	149633
22	3505	148887
23	3635	147834
24	3767	146925
25	3913	146605
26	4053	146088
27	4213	146254
28	4364	146132
29	4532	146563
30	4680	146305
31	4839	146392
32	5003	146630
33	5137	145963
34	5265	145182
35	5381	144097
36	5509	143389
37	5634	142635
38	5791	142701
39	5926	142224
40	6095	142580
41	6247	142510
42	6426	143036
43	6707	145725
44	6934	147161
45	7075	146730
46	7211	146232
47	7355	145883
48	7509	145736
49	7667	145685
50	7817	145473
51	7962	145165
52	8098	144708
53	8243	144420
54	8417	144631
55	8607	145090
56	8772	145132
57	8910	144718
58	9057	144467
59	9197	144098
60	9326	143563
61	9460	143134
62	9604	142847
63	9800	143325
64	10006	143943
65	10227	144735
66	10608	147731
67	10890	149266
68	11050	149096
69	11258	149573
70	11406	149248
71	11569	149113
72	11713	148745
73	11848	148260
74	11976	147705
75	12116	147316
76	12274	147136
77	12402	146607
78	12527	146053
79	12671	145721
80	12818	145429
81	12956	145047
82	13087	144597
83	13230	144279
84	13440	144687
85	13622	144780
86	13784	144653
87	13923	144297
88	14047	143789
89	14165	143232
90	14302	142864
91	14491	143022
92	14645	142832
93	14790	142555
94	14924	142171
95	15055	141772
96	15181	141327
97	15371	141483
98	15543	141464
99	15684	141157
100	15826	140875
101	15990	140778
102	16123	140414
103	16264	140124
104	16421	139972
105	16569	139744
106	16697	139354
107	16845	139132
108	16979	138792
109	17109	138431
110	17238	138065
111	17404	137992
112	17582	138017
113	17748	137939
114	17930	137989
115	18083	137808
116	18232	137603
117	18404	137567
118	18564	137436
119	18697	137115
120	18840	136865
121	19004	136767
122	19171	136695
123	19354	136729
124	19542	136800
125	19675	136476
126	19875	136623
127	20046	136563
128	20224	136556
129	20384	136422
130	20585	136555
131	20758	136500
132	20916	136349
133	21078	136225
134	21284	136378
135	21503	136612
